drug_a,drug_b,targets_a,targets_b,union_targets,n_union_targets,n_target_classes,target_classes,n_pathways_union,covered_pathways,complementarity,combined_proximity,combo_score,both_priority,safety_a,safety_b
RISPERIDONE,ATOMOXETINE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
RISPERIDONE,CITALOPRAM,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
RISPERIDONE,DULOXETINE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
RISPERIDONE,FLUOXETINE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
RISPERIDONE,NEFAZODONE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
RISPERIDONE,PAROXETINE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
RISPERIDONE,SERTRALINE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
RISPERIDONE,VENLAFAXINE,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD3;HTR2A;HTR2C;SLC6A4,7,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5716,0.7143,False,nan,nan
OLANZAPINE,ATOMOXETINE,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C;SLC6A4,9,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5198,0.713,False,nan,nan
OLANZAPINE,CITALOPRAM,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,SLC6A4,ADRA2A;CHRM1;DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C;SLC6A4,9,5,adrenergic;cholinergic;dopamine;serotonin;transporter,4,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,2.5198,0.713,False,nan,nan
